date,store_id,product_id,demand_type,imputed_sales,ensemble_forecast
2024-07-24,S001,P001,Fast-Moving,52.0,60.56953125959003
2024-07-25,S001,P001,Fast-Moving,58.0,58.635876201615375
2024-07-26,S001,P001,Fast-Moving,58.0,65.28789234914407
2024-07-27,S001,P001,Fast-Moving,56.0,62.934560672287105
2024-07-28,S001,P001,Fast-Moving,51.0,63.02529435526327
2024-07-29,S001,P001,Fast-Moving,48.0,60.49665828748457
2024-07-30,S001,P001,Fast-Moving,49.0,55.490528323198006
2024-07-31,S001,P001,Fast-Moving,124.0,93.31261843251009
2024-08-01,S001,P001,Fast-Moving,49.0,56.625389003197554
2024-08-02,S001,P001,Fast-Moving,51.0,63.12087858517449
2024-08-03,S001,P001,Fast-Moving,54.0,61.716464297233536
2024-08-04,S001,P001,Fast-Moving,54.0,62.684235028549544
2024-08-05,S001,P001,Fast-Moving,48.0,60.10557111348081
2024-08-06,S001,P001,Fast-Moving,55.0,54.61810455556632
2024-08-07,S001,P001,Fast-Moving,54.0,58.130387841147936
2024-08-08,S001,P001,Fast-Moving,53.0,54.76230742916937
2024-08-09,S001,P001,Fast-Moving,51.0,61.73978019596076
2024-08-10,S001,P001,Fast-Moving,48.0,62.05424560772684
2024-08-11,S001,P001,Fast-Moving,57.0,62.45615749810047
2024-08-12,S001,P001,Fast-Moving,54.0,59.842316352196775
2024-08-13,S001,P001,Fast-Moving,56.0,54.78661058224615
2024-08-14,S001,P001,Fast-Moving,52.0,58.589245735503546
2024-08-15,S001,P001,Fast-Moving,51.0,55.6472555640035
2024-08-16,S001,P001,Fast-Moving,59.0,61.83554185313376
2024-08-17,S001,P001,Fast-Moving,68.0,63.36801721363031
2024-08-18,S001,P001,Fast-Moving,52.0,65.64992826477052
2024-08-19,S001,P001,Fast-Moving,55.0,61.981830679657854
2024-08-20,S001,P001,Fast-Moving,54.0,56.62729106266133
2024-08-21,S001,P001,Fast-Moving,49.0,60.043667136939234
2024-08-22,S001,P001,Fast-Moving,52.0,56.493982339584704
2024-08-23,S001,P001,Fast-Moving,65.0,63.21697855913488
2024-08-24,S001,P001,Fast-Moving,50.0,63.884156602126545
2024-08-25,S001,P001,Fast-Moving,54.0,64.98337798651872
2024-08-26,S001,P001,Fast-Moving,51.0,61.985259496865034
2024-08-27,S001,P001,Fast-Moving,54.0,56.63459179759312
2024-08-28,S001,P001,Fast-Moving,50.0,59.60931366654876
2024-08-29,S001,P001,Fast-Moving,51.0,57.62899723162097
2024-08-30,S001,P001,Fast-Moving,46.0,64.39393414025807
2024-08-31,S001,P001,Fast-Moving,55.0,63.5802810370095
2024-09-01,S001,P001,Fast-Moving,131.0,99.29129021742219
2024-09-02,S001,P001,Fast-Moving,57.0,61.37382396470697
2024-09-03,S001,P001,Fast-Moving,54.0,56.846093277153805
2024-09-04,S001,P001,Fast-Moving,50.0,59.8293982149571
2024-09-05,S001,P001,Fast-Moving,49.0,56.75508382470706
2024-09-06,S001,P001,Fast-Moving,54.0,63.428570995795326
2024-09-07,S001,P001,Fast-Moving,61.0,64.1355687561942
2024-09-08,S001,P001,Fast-Moving,51.0,64.98618822713425
